"circuit_index","phenotype_pattern","count"
61,"0000|0011|1001|1101",23
61,"0000|0011|1000|1011|1100|1111",1
62,"0000|0011|1001|1101",1475
62,"0000|1001|1101",4745
62,"0000|0011|1000|1011|1101",62
62,"0000|1000|1101",1604
62,"0000|0011|1000|1101",480
62,"0000|1000|1101|1111",651
62,"0000|1001|1101|1111",230
62,"0000|0011|1000|1101|1111",183
62,"0000|0011|1000|1100|1111",72
62,"0000|0011|1001|1011|1101",130
62,"0000|1000|1100|1111",253
62,"0000|0011|1001|1101|1111",70
62,"0000|0011|1000|1011|1101|1111",26
62,"0000|0011|1001|1011|1101|1111",10
62,"0000|0011|1000|1011|1100|1111",9
63,"0000|1101",3387
63,"0000|1000|1101|1111",513
63,"0000|1000|1100|1111",2583
63,"0000|1101|1111",1906
63,"0000|1001|1101|1111",687
63,"0000|0011|1101",224
63,"0000|0011|1000|1100|1111",220
63,"0000|0011|1000|1101|1111",36
63,"0000|0011|1101|1111",86
63,"0000|0011|1001|1101|1111",105
63,"0000|1001|1101",185
63,"0000|0011|1001|1101",63
63,"0000|0011|1001|1011|1101",1
63,"0000|0011|1000|1011|1101|1111",1
63,"0000|0011|1000|1011|1100|1111",1
63,"0000|0011|1001|1011|1101|1111",2
64,"0000|1000|1100|1111",8383
64,"0000|0011|1000|1100|1111",1617
65,"0000|1000|1101|1111",1959
65,"0000|1000|1101",4184
65,"0000|1000|1100|1111",1738
65,"0000|0011|1000|1101",1105
65,"0000|0011|1000|1100|1111",476
65,"0000|0011|1000|1101|1111",536
65,"0000|0011|1000|1011|1101",2
66,"0000|1000|1100|1111",9391
66,"0000|0011|1000|1100|1111",609
67,"0000|0011|1001|1101",762
67,"0000|1001|1101",3045
67,"0000|1000|1100|1111",2218
67,"0000|1000|1101|1111",437
67,"0000|0011|1000|1100|1111",583
67,"0000|1001|1101|1111",2257
67,"0000|0011|1001|1101|1111",583
67,"0000|0011|1000|1101|1111",115
68,"0000|0011|1000|1111",2412
68,"0000|1000|1111",7264
68,"0000|1000|1100|1111",239
68,"0000|0011|1000|1100|1111",84
68,"0000|0011|1000|1011|1111",1
69,"0000|1000|1111",6699
69,"0000|1000|1101|1111",572
69,"0000|1000|1101",171
69,"0000|0011|1000|1111",1970
69,"0000|0011|1000|1101|1111",199
69,"0000|0011|1000|1011|1101|1111",22
69,"0000|0011|1000|1011|1100|1111",4
69,"0000|0011|1000|1011|1111",229
69,"0000|0011|1000|1101",55
69,"0000|1000|1100|1111",62
69,"0000|0011|1000|1100|1111",11
69,"0000|0011|1000|1011|1101",6
70,"0000|1000|1111",8909
70,"0000|0011|1000|1111",722
70,"0000|1000|1100|1111",327
70,"0000|0011|1000|1100|1111",34
70,"0000|0011|1000|1011|1111",8
71,"0000|0011|1000|1111",699
71,"0000|1001|1111",4433
71,"0000|0011|1001|1111",1316
71,"0000|1000|1111",2454
71,"0000|1001|1101",83
71,"0000|1000|1100|1111",71
71,"0000|0011|1001|1101|1111",140
71,"0000|0011|1001|1011|1111",124
71,"0000|1001|1101|1111",503
71,"0000|0011|1000|1011|1111",94
71,"0000|0011|1000|1100|1111",20
71,"0000|0011|1001|1101",25
71,"0000|0011|1001|1011|1101|1111",9
71,"0000|1000|1101|1111",20
71,"0000|0011|1000|1101|1111",5
71,"0000|0011|1000|1011|1101|1111",1
71,"0000|0011|1000|1011|1100|1111",3
72,"0000|1000|1111",7754
72,"0000|0011|1000|1111",1902
72,"0000|1000|1100|1111",267
72,"0000|0011|1000|1100|1111",75
72,"0000|0011|1000|1011|1111",2
73,"0000|0011|1111",8438
73,"0000|0011|1101|1111",817
73,"0000|0011|1101",111
73,"0000|0011|1000|1100|1111",84
73,"0000|0011|1000|1101|1111",182
73,"0000|0011|1000|1101",201
73,"0000|0011|1011|1111",137
73,"0000|0011|1000|1011|1101|1111",4
