circuit_idx,src,tgt,n_src_samples,n_edge_samples,confidence,dominant_type,hamming
66,0011,1011,200000,197661,0.988305,boundary_analytic,1
66,0011,0111,200000,133241,0.666205,boundary_analytic,1
67,1000,0000,200000,200000,1.0,boundary_analytic,1
67,0010,0000,200000,200000,1.0,boundary_analytic,1
67,0010,0011,200000,200000,1.0,boundary_analytic,1
67,0011,1011,200000,180109,0.900545,boundary_analytic,1
67,0011,0111,200000,133241,0.666205,boundary_analytic,1
67,1100,1101,200000,177644,0.88822,boundary_analytic,1
67,1000,1001,200000,173389,0.866945,boundary_analytic,1
68,1000,0000,200000,200000,1.0,boundary_analytic,1
68,0010,0000,200000,200000,1.0,boundary_analytic,1
68,0010,0011,200000,200000,1.0,boundary_analytic,1
68,0011,1011,200000,180109,0.900545,boundary_analytic,1
68,0011,0111,200000,41596,0.20798,boundary_analytic,1
68,1100,1110,200000,197361,0.986805,boundary_analytic,1
69,1000,0000,200000,200000,1.0,boundary_analytic,1
69,0010,0000,200000,200000,1.0,boundary_analytic,1
69,0010,0011,200000,200000,1.0,boundary_analytic,1
69,0011,1011,200000,180109,0.900545,boundary_analytic,1
69,1100,1110,200000,197361,0.986805,boundary_analytic,1
69,1100,1101,200000,182326,0.91163,boundary_analytic,1
70,1000,0000,200000,200000,1.0,boundary_analytic,1
70,0010,0000,200000,200000,1.0,boundary_analytic,1
70,0010,0011,200000,200000,1.0,boundary_analytic,1
70,0011,1011,200000,197661,0.988305,boundary_analytic,1
70,1100,1110,200000,197361,0.986805,boundary_analytic,1
71,1000,0000,200000,200000,1.0,boundary_analytic,1
71,0010,0000,200000,200000,1.0,boundary_analytic,1
71,0010,0011,200000,200000,1.0,boundary_analytic,1
71,0011,1011,200000,180109,0.900545,boundary_analytic,1
71,1100,1110,200000,197361,0.986805,boundary_analytic,1
71,1100,1101,200000,177644,0.88822,boundary_analytic,1
71,1000,1001,200000,173389,0.866945,boundary_analytic,1
72,1000,0000,200000,200000,1.0,boundary_analytic,1
72,0010,0000,200000,200000,1.0,boundary_analytic,1
72,0010,0011,200000,200000,1.0,boundary_analytic,1
72,0011,1011,200000,180109,0.900545,boundary_analytic,1
72,0011,0111,200000,133241,0.666205,boundary_analytic,1
72,1100,1110,200000,197361,0.986805,boundary_analytic,1
73,1000,0000,200000,200000,1.0,boundary_analytic,1
